UserName : NajlaBH
FILENAME	SIZE	MD5HASH
__init__.py	51	14af4f51a60c519f20b25a15e1d08288
poetry.lock	6720	d82eef456f8d80a97f0dbae1c88bd612
LICENSE	1074	d6b5e59dcfae11f77d90d22ae1475656
pyproject.toml	409	25f872a6f6f8523df6b6d5336c846fa0
requirements.txt	663	839e920f2859875e17a66e8f9f5648b3
.gitignore	1477	868bc986c2a26f72d32c91f8c3577cd3
console.py	321	34417a870273761f18734c3a52d806e3
setup.py	693	9a31fa6cf9a4882575084005ca9655f3
README.md	421	07865b015852f412bcc8c1338079aca2
entrypoint.py	103	cdbb20a633f1dfb23882eb1b065e89d6
